Job_Description,Class_Customercare
"Serve as business contact between the customer service operations group and all of the internal departments and external vendors to address and resolve processing exceptions and/or escalated customer service cases. Establish a strong relationship with each of the College Board departments listed above and external vendors, specifically the various customer service outsourced partners. Must fully understand all of the College Board Program(s) operations processes, particularly those impacting Customer Service. Must understand these operational activities from end to end to ensure all escalated cases are adequately addressed across all of the affected departments and vendors.Ability to effectively communicate, verbally and in written format case status, as well as complex Program policies to consumers, to include students, parents, High School Guidance Counselors and College/University Admissions Personnel.Ability to work within aggressive timelines and with extremely sensitive student cases.Ability to handle high volume case loads while ensuring that cases are researched and closed within established timelines.Ability to learn multiple customer service and operational system applications required to manage escalated customer service cases.",1
Handle transactions/inquiries and answer customer questions.Listen to the customers then lead them to the solution that best works for them.Offer products that the customer could utilize based on call subject.Create and update case management system with all interactions from users.Route inquiries to the right department .Promote web portal to all internal users.,1
"Handling inbound and outbound customer care calls with outstanding customer service satisfaction.Answering questions from customers and addressing concerns.Keeping records of customer interactions, process customer accounts, and file documents.",1
Conducting inbound and outbound customer service calls with customers.Creatively problem solve.Quickly assessing customer needs and providing sound solutions.Providing a high-level of customer service.Documenting details of all calls and customer interactions.,1
"Client Support Service Professionals handle incoming phone calls regarding various service inquiries on Morgan Stanley accounts.Calls will need to respond with a high degree of accuracy and efficiency, while consistently meeting key department performance metrics.Functional support areas include Morgan Stanley Cash Management products and services, Morgan Stanley Online (client website) and Mobile app, and general account or financial related inquiries.Successful applicants will be highly professional, career driven, and committed to World-Class Service.",1
"Responsible for providing high quality telephone customer service to customers. Resolving customer inquiries, providing customers with account information, resolving or referring billing disputes, correcting payment errors, reversing fee and finance charges as appropriate and per guidelines, account maintenance, researching customer problems that couldn't be resolved during initial contact. Will receive 3 weeks of training. Calls will be monitored and you will be coached based on those monitors. It is a professional environment. There are strict attendance policies.",1
"The candidates provide customer solutions by providing seamless delivery of service, and/or fulfillment requests by answering calls, text messages or emails in a contact center environment.Requires knowledge of multiple products and ability to deepen or retain relationships through service.Performs routine account-related transactions.Involves referring customers to the appropriate line of business for products not supported.Will be required to think through and solve problems and investigate/resolve a wide variety of issues and requests that include gathering additional information, setting expectations and working with other support organizations to fulfill the requestWill handle escalated issues by successfully navigating the organization to resolve customer requests.Routes, maintains and tracks outstanding servicing requests and provides thorough follow up.Accountable for the successful resolution of all customer requests. ",1
"We are guided by a common purpose to help make financial lives better by connecting clients and communities to the resource they need to be successful. Make a difference where it counts by joining our Consumer Client Services team at Bank of America.We’re looking for skilled people that will advise and advocate for our clients for their most important service needs.As part of the team, Client Service Representatives (CSR II) go beyond processing simple account transactions –you’ll listen to client needs and advise on products and services to support our clients through life events and moments that matter.Anticipate and resolve client concerns with the goal of exceeding each client’s expectations, no matter how large or small the request.CSR IIs work in an inbound client service contact center that requires sitting and taking calls for the entire shift, with structured breaks. Being there for our clients is our number one priority. In order to do that, we need our employees to adhere to schedules that ensure our clients have every opportunity to connect with a client service professional in their moments that matter.Handles more complex escalated customer calls in order to resolve in the most satisfactory manner for all parties concerned.Calls are non-routine and require deviation from standard screens, scripts and procedures. May respond to faxes and emails.",1
"Provides customer solutions by providing seamless delivery of service, and/or fulfillment requests by answering calls, text messages or emails in a contact center environment.Performs routine account-related transactions. Involves referring customers to the appropriate line of business for products not supported.May be required to solve problems and investigate/resolve a wide variety of issues and requests that include gathering additional information, setting expectations and working with other support organizations to fulfill the request.May handle escalated issues by successfully navigating the organization to resolve customer requests.Routes, maintains and tracks outstanding servicing requests and provides thorough follow up. Accountable for the successful resolution of all customer requests.",1
"Providing high quality customer service by responding to and researching and resolving customer inquiries related to dispute/fraud claims.Managing a large caseload by researching, investigating, and resolving disputed credit/debit card charges.",1
"Interacting with customers via correspondence and telephone to determine the source of the claim and correcting errors.Customer claims are governed by Regulation E and/or Regulation Z requiring provisional credits, fees, interest and cardholder communications be completed within required timeframes. This position is multi-faceted and requires a high level of accuracy and attention to detail.",1
"Calling employers verifying employment.Verbal verifications of employment.Mortgage knowledge preferred.May help with imaging- W-2 and paystubs into system.Orders appraisals through the system and processes verifications of employment. Sorts and files correspondence, loan documents and other records in alphabetic or numerical order or according to a specific loan. Processes paperwork by verifying data and transferring into a standard format. Posts to and extracts data from records and files. May input data of new or existing loan information and process documents. May perform other clerical duties. Must have excellent communication and PC skills. Excel knowledge required. Desired background: mortgage experience and good PC skills.",1
"First point of contact for our customers so we need to make sure their experience is a good one through phone interaction.Need to understand our products and how to perform transactions, own customer concern to solve problems, investigate issues, and work with other departments to fulfill requests. Basically, create and maintain the relationships that keep our customers loyal and happy.Team environment with a shared commitment not only to our customer but to each other. Fast paced with high call volume environment.",1
"Performs routine clerical or job data entry functions within mortgage operations or servicing departments. Sorts and files correspondence, loan documents and other records in alphabetic or numerical order or according to a specific loan.Retrieves archived files.Processes paperwork, gathers and verifies data and transfers data into a standard format. Generates correspondence and routine reports, answers incoming telephone calls, responds to routine customer inquiries, and performs a variety of clerical duties.",1
"Providing high quality customer service by responding to and researching and resolving customer inquiries related to dispute/fraud claims.Managing a large caseload by researching, investigating, and resolving disputed credit/debit card charges.",1
"This position involves developing, testing and deploying algorithms for guidance and navigation. Specifically, using inertial sensors, radar, cameras, and lidar for state estimation and localization. The engineer will play a key role in a small, fast-moving team and have input to conceptual system architectural design and implementation of embedded software to ensure safety of an electric-powered, fly-by-wire aircraft.",0
This position involves working towards designing and implementing automation software to support automated test  code generation  lab configuration and documentation. Specifically  this role has an emphasis on automated testing of flight code.,0
Analyze data to transform into useful information to help make business decisions.Data mining to identify patterns for predictive insights.Organizing data using visualization.Model structured and unstructured data for system integration.,0
"Designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis, modeling, and predicting to enable informed business decisions. Gains insight into key business problems and deliverables by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources. Collaborates across departments and with customers to define requirements and understand business problems. Uses advanced mathematical, statistical, querying, and reporting methods to develop solutions. Develops information tools, algorithms, dashboards, and queries to monitor and improve business performance. Creates solutions from initial concept to fully tested production, and communicates results to a broad range of audiences. Effectively uses current and emerging technologies.",0
"The Data Analyst’s responsibilities include conducting a full lifecycle analysis to include requirements, activities, and design. The Data Analyst will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Other duties as assigned by the Data Manager.",0
"Qualified Data Analyst will be tasked with developing  quantifying and evaluating the transformation of internal and external information into business intelligence to support the strategic objectives of the sales organization and drive operational excellence. Skilled in data and technology management (data acquisition, mining, analysis, data integrity management, metrics management, and reporting.) Supports and overlooks sales force effectiveness initiatives, specifically around sales management, planning, marketing and other parts of the business to promote sales excellence through metrics management, Analyses of sales results, customer segmentation and targeting and coaching",0
Minimum 2 years experience in data entry involving various project controls applications. Support other office personnel in the entry of data into various project controls applications as directed.Demonstrates proficiency in the use of Microsoft Office applications and construction project controls applications (examples: Primavera Project Planner and Primavera Expedition),0
Executing test plans on pre-release versions of software.Assessing product functionality against design documents.Researching and documenting software issues.Generating software bug reports that detail the issue in a concise and accurate manner.Provide feedback on features in development.Verify fixes applied by developers .Contribute to and help maintain a project bug database,0
"Develop test scripts for protocol and RF testing for 5G (5th Generation) wireless communications developed by the 3GPP (3rd Generation Partnership Project) standards body; Develop functional, performance and RF measurement test cases using Protocol R&D toolset of Protocol Conformance test set based on 3GPP NR Specifications 38.523-1 and 38.523-2; Responsible for new 3GPP 4G/5G L1,L2,L3 feature integration; Responsible for integrating and support channel emulators. Develop test cases of ETSI TTCN quarterly release of 5G NR and LTE complex scenarios using scripting language TTCN2/TTCN3 and programming language C/C++ using Microsoft Visual studio; Test and Debug the full suite products from the developer’s toolset to the conformance and Inter-operability products;",0
"This position involves working towards designing and implementing automation software to support automated test, code generation, lab configuration and documentation.Specifically, this role has an emphasis on automated testing of flight code.",0
Development of regression analysis testing automation.Developing and maintaining CI/CD pipelines for Systems' software stack.Development of telemetry for fleet failure analysis.Triaging and fixing operating system issues impacting the reliability of product offerings.Collaborating with cloud operation and SRE teams to reduce fleet failures related to systems' software stack.,0
Utilize proven sales techniques to build customer relationships to enhance the customer buying and service experience for small business customers. Opportunity to consistently meet or exceed sales quotas and service objectives to earn extra cash.Interact proficiently with a variety of online systems to provide the right solutions that meets the customer's needs.,1
"Understand our Health Plans. Provide answers and solutions to our members’ benefit questions. Guide, comfort, and provide OUTSTANDING service to all members. Live our core values of trust, integrity, respect, teamwork, empathy, commitment, financial prudent, and innovation. This position does include a requirement to be on the phones up to 7 hours per day.",1
"Manage large amounts of inbound and sometimes outbound calls with efficiency and courtesy . Follow conversation prompts and scripts when handling different topics.Identify customers' needs; clarify their information; research their issues; they provide solutions and/or alternatives to solve their problems.Seize opportunities to upsell products when they arise.Build sustainable relationships and engage customers by going the extra mile when you can.Keep accessible, comprehensive records of all conversations in our call center database.Attend educational seminars to improve knowledge and performance level.Meet or exceed personal/team qualitative and quantitative targets.
",1
"Have some experience in making outbound marketing or sales calls.Meet the production goals required to maintain the seat.Show up on time and work the hours allotted.Have some basic computer skills, we use computers for dialing.Handle yourself properly on the telephone with potential customers
",1
"Answers incoming calls, places outgoing sales calls to active customers and accurately takes all order information.Answers questions regarding Omaha Steaks products and services or directs customer calls as needed.Recommends add-ons/upgrades to every customer who places an order.Uses established sales and service techniques to maximize every over and ensure customer satisfaction.
",1
"Taking inbound phone calls from our customers and inputting their orders into the order entry system. Must strive for accuracy, speed, excellent customer service and offer additional items to help drive sales. One week of training prior to starting on the floor.Processing Order Entry calls, taking Internet Helpline calls, and Inbound Customer Service calls. Internet Helpline calls are to assist our customers navigate the Harry and David website to be able to successfully complete their order online. Inbound Customer Service calls are to assist our customers with a variety of issues with the goal of retaining the order and their loyalty. The same skills for Inbound Order Entry are required for Customer Service with the addition of a degree of comfort in navigating the internet and problem-solving skills. Two weeks of training prior to starting on the floor.
",1
Blended Agents receive Customer Service Training and Outbound Sales training and are responsible for taking all inbound calls as a Customer Service Associate and for making Outbound calls to our established customers to offer specials and discounts. The same skills for Customer Service are required along with sales experience. Two weeks of training prior to starting on the floor and an Outbound Sales class must be successfully completed.,1
"Evaluating people’s moving needs and finding the right solution for them from the variety of options we offer.You must possess the ability to follow up and follow through with our customers, while working well with others both in and outside of the office.",1
"Making Outbound Calls to confirm/reschedule participant’s appointment with a New Business Benefit Advisor. Answer inbound phone calls to schedule appointments for participants to speak to a New Business Benefit Advisor. Answer inbound phone calls pertaining to the status of an application or general customer inquiries. Respond to instant live chat requests with colleagues and supervisors. Actively listening to participants to understand both verbal and non-verbal queues. Researching options in proprietary tools and elsewhere on the internet. Demonstrating sustained confidence and resilience during challenging interactions. Fully and accurately documenting all conversations and actions taken on each interaction. Working with Benefit Advisors and enrollment specialists, assisting them with their work load during periods of high call volume.
",1
"Provide solutions and recommendations for all potential customers while managing a customer pipeline through proper lead management. Execute the sales process with precision to ensure the highest conversion of new customers.Offer quality products and services from our trusted brand to consumers over the phone.Cultivate sustainable relationships with our customers. Exceed our customer's expectations by listening and providing accurate information to fulfill their needs. Uphold and demonstrate our company core values, tenets, and commitments.
",1
"It is the responsibility of the receptionists in the Call Center to; answer all calls that come into the Houston Humane society main line in a professional and courteous manner; answer questions and provide information to callers; schedule surgery appointments; transfer callers to the appropriate department or individuals based on their inquiries; check voicemails; and assist callers in any manner deemed necessary to project a professional, caring and efficient image of the Houston Humane Society.",1
"In this position, your contacts will reflect a combination of sales and service contacts depending on customer needs.Our Virtual Seasonal Customer Service Representatives take incoming calls or emails or chats from our customers who may have questions concerning lost packages, exchanges/returns, shipping information, billing and a variety of other concerns. They also assist our customers with ordering, sizing, checking availability and navigating our website. Every contact requires you to utilize selling skills to make effective recommendations to assist our customers. Our Customer Care Specialists must act in a timely, tactful and professional manner at all times.",1
"Call Center Representative is part of a team that directly impacts our company’s mission of providing best-in-class service. The Customer Service team operates in a fast-paced environment and is an integral part of our daily operations. In this role, the Customer Service Agent handles a high volume of service-related customer calls and provides cross-functional support for our Operations team. A successful Customer Service Agent possesses a strong knowledge base about our business, is solution-oriented, and maintains a pleasant and professional demeanor. The ideal candidate provides high quality customer service and exhibits initiative in achieving team performance and productivity goals.",1
"The purpose of Customer Service Representatives (CSR) position is to deliver excellent customer care and create sustainable value for customers via phone, email, chat, and correspondence. The CSRs handle service and information requests and explain company policies and procedures along with terms and conditions.Provides efficient and effective service to customers and prospects on all patron based services to a variety of inquiries and customer needs. Maintains sincere interest in providing stellar customer care.Understands customer needs, determines the appropriate course of action to meet those needs and completes or initiates the transaction. Exercises independent thinking in meeting customer expectations. Combines knowledge of product, good work ethic, effective time management skills, and human relations skills to meet performance standards and positively influence the client's image.Ability to process information quickly and accurately.Ability to handle routine customer transactions. Ability to work under time constraints.Ability to understand and apply new concepts.Ability to analyze information and evaluate results.Ability to effectively deal with complex customers.Ability to create positive customer relationships by defusing angry and upset customers.
Demonstrates a commitment to learning quickly and effectively applying knowledge as well as supporting/creating a productive, positive work environment.
Attention to detail-documentation and follow-up.
",1
Provide Tier 1 call center support. Being the first line of resolution for technical call inquiries and include answering general inquiries about a variety of services.Directory .Basic assistance with navigation of online resources.assistance.Communicating with customer through a variety of communication channels. Triaging issues for proper disposition.Escalation of issues beyond the Tier 1 level to the appropriate resource.Documenting into a customer relationship management (CRM) tool and troubleshooting basic access issues.,1
"Write clean, maintainable code following best practices (unit testing, source control, continuous integration, automation, design patterns, etc.). Debug code and troubleshoot problems.
Collaborate with other developers, testers, and system engineers to ensure quality product enhancements.Take full responsibility for the quality of code and test cases that are developed
",0
"Your mission is to test pre-release AAA video games under the Activision umbrella. As a Game Tester you’ll verifying functionality, data content, performance, 1st Party (Sony, Microsoft, Nintendo) compliance, usability/playability, and hardware/software compatibility. Not to mention, play some awesome games!",0
"We have an ongoing need for HTML coders working offsite on a CONTRACT basis.Hand-write basic, clean html code on a contract basis.Work with designers and customer reps to make modifications and updates to existing and new client's websites. Use your internet skills to search and compile information from the web.",0
"Work with a Curriculum Developer to create and refine a series of high-level syllabi for iOS Mobile Development.Become familiar with the Codecademy Platform and provide guidance on the best way to support iOS Development instructional content. Provide complex technical and pedagogical insights in such a way that other team members—and, ultimately, Codecademy learners—can understand",0
"working with Designers to implement UI/UX and support development of product as requested. Since we’re just getting things off the ground, other requirements could come up, but that’s the best part of being involved with a startup…lots of opportunity to learn and plenty of challenging work. The person we are looking for should be fluent in English, hard-working, have a strong willingness to learn about business and entrepreneurship, be proficient with HTML, CSS, Javascript and have the ability to communicate within a team environment. Experience with jQuery and integration to PHP is a plus. We work pretty closely together",0
"We are quick thinkers, highly driven, and hackers at heart, we love finding new crazy ways to solve the most unexpected issues. We value a good attitude and proactivity. We like forward-thinking creative individuals who look for the good of the team instead of the individual, having said that we love those who get stuff done.We are JavaScript freaks, but use any tool in our power to get the work done. We use NODE.JS, ReactJs, MySQL, Github (+Actions), Microservices, GCP and AWS.We hate reinventing the wheel, but if we think that we can do it better, we just do it.",0
"The Web developer responsibilities include building a website from concept all the way to completion from the bottom up, putting together everything from the home page to site layout and function.Write well designed, testable, efficient code by using best software development practices.Create website layout/user interface by using standard HTML/CSS practices.Gather and refine specifications and requirements based on technical needs.Create and maintain software documentation.Be responsible for maintaining, expanding, and scaling a site.Stay plugged into emerging technologies/industry trends and apply them into operations and activities.",0
"We’re looking for bright energetic and out-of-the-box problem solvers to join our team. We specialize in development of web and mobile applications, information driven reporting solutions and ways to align technology solutions with business objectives. This development position exposes associates to both Web and Business Intelligence tools including web technologies, large scale databases, ETL and reporting tools. We seek to deliver beautiful, functional solutions that meet - and exceed - customers’ needs. Passion for technology and using it to solve business problems.Understanding of web software development technologies including HTML, CSS, XML, JSON and JavaScript. Experience working with modern JavaScript frameworks and libraries such as React JS, Vue JS, and React Native. Possess an understanding of the entire web development process, including design, development and deployment, and testing with some back-end knowledge
",0
"Engineers work with product managers to refine direction and solve user problems, exchange code reviews with other team members, provide mentorship to junior engineers, and assist QA and Ops in troubleshooting product issues. Our platform uses React + Redux and modern semantic HTML and CSS. While your focus will be on the front end, our teams are cross-discipline and we encourage learning outside your area of expertise and welcome contributions to other domains such as our backend microservices built using Python & Django.",0
"Be part of a dynamic team that is passionate about creating industry-changing, cloud-based applications and platforms. Solve real customer problems and experiment with new ideas. Decompose existing software systems while working with and influencing others to improve overall architecture.Collaborate with QA engineers to ensure accurate and comprehensive testing coverage.Contribute to troubleshooting and technical support of the product. Participate in all aspects of the software development life cycle",0
"As a Post Office Clerk, you are responsible for shipping and mailing of all mail over the counter. You will also be in charge of all purchases of supplies and mail accessories. You will work hands on with the public. You may also be required to handle bags of mail or parcel post weighing up to 70 pounds.",0
"Researches and compiles data, prepares statistical reports and maintains database records.Reviews and processes applications, forms, invoices, timesheets, and payroll and personnel documents.Assesses work flow, and organizes activities and operations.Prepares lists, records information on forms, completes and processes standard forms, documents, and reports and corrects mistakes.Assists in budget preparation and monitors and controls expenditures.Answers phone calls, provides information, takes messages, and routes calls.Enters, codes, stores, edits and retrieves database records and files.Organizes clerical operations for program activities, develops standard forms and form letters, performs research, and completes administrative projects",0
"As a Post Office Clerk, you are responsible for shipping and mailing of all mail over the counter. You will also be in charge of all purchases of supplies and mail accessories. You will work hands on with the public. You may also be required to handle bags of mail or parcel post weighing up to 70 pounds.",0
This is an entry level position responsible for maintaining designated mountain(s) invoicing workflows in accordance with payment terms. AP Data Entry Clerks will be working closely with internal and external stakeholders to ensure on time payment. This team is a crucial resource supporting of all aspects of Accounts Payable processing for the entire enterprise.,0
"Transfer data into computer files or database systems.Type in data provided directly from IMT Logistics Coordinator.Update spreadsheets with multiple name changes with 100% accuracy.Verify data by comparing it to source documents Working with hotel PIC to maintain guidelines set for hotel quarantine.Retrieve data from the database or electronic files as requested.Backup data to ensure data preservation.Sort and organize paperwork after entering data to ensure it is not lost.Engage and collaborate with on-site IMT members both internal and external to Danos Create and/or maintain databases and spreadsheets.Complete forms in accordance with company procedures",0